Bleach,"accion,aventura,shounen",Kubo Tite,7.67," Ichigo Kurosaki es un chico de 15 anios que puede ver espiritus. Intentando proteger el espiritu de una ninia pequenia de un hollow , tiene un encuentro con un espiritu malvado y una shinigami. Despues Ichigo Kurosaki encuentra a la chica en su habitacion, ella se presenta como Rukia Kuchiki, y explica el objetivo de los shinigami. El hollow vuelve y deja a Rukia Kuchiki herida, para salvar a la familia de Ichigo Rukia le traspasa sus poderes y así se convierte en un shinigami."
Horimiya,"comedia,romance,school,shounen,slice of life",Daisuke Hagiwara,8.47,"Kyoko es una alumna modelica y popular que al llegar a casa se convierte en una chica hogarenia muy discreta. Miyamura, su companero de clase, es un tipo del monton con cierto aire de friki que en sus ratos libres se transforma en un chico muy atractivo con piercings y mucho estilo."
Fullmetal Alchemist,"accion,aventura,comedia,drama,shounen",Hiromu Arakawa,8.08,"Los hermanos alquimistas Edward y Alphonse Elric intentan realizar la prohibida tecnica de la transmutacion humana para recuperar a un ser querido y sufren brutales consecuencias."
Shingeki no Kyojin,"accion,misterio,drama,fantasia,horror,shounen",Hajime Isayama,9.75,"Hace 100 años Titanes aparecieron en la tierra. Pronto la civilizacion estuvo al punto del colapso por causa de estos, los humanos construyeron entonces tres muros gigantes para defenderse. Con los muros estuvieron en paz pero, después de 100 anios, los gigantes rompieron las paredes."
Haikyuu,"comedia,drama,shounen,deportes",Haruichi Furudate,8.90,"sinopsis"
Dragon Ball,"accion,aventura,comedia,shounen,ciencia ficcion",Akira Toriyama,7.40,"sinopsis"
Domestic na Kanojo,"drama,romance,shounen",Kei Sasuga,6.20,"sinopsis"
Tenki no Ko,"drama,fantasia,romance,slice of life,seinen",Makoto Shinkai,7.66,"sinopsis"
Byousoku 5 Centimeter,"drama,romance,seinen",Makoto Shinkai,8.04,"sinopsis"
Fumetsu no Anata e,"drama,shounen",Yoshitoki Ooima,8.45,"sinopsis"
Burn the Witch,"accion,fantasia,shounen",Kubo Tite,6.10,"sinopsis"
Omoi Omowarei Furi Furare,"drama,romance,shoujo",Io Sakisaka,5.81,"sinopsis"`
Golden Time,"comedia,romance",Yuyuko Takemiya,7.71,"sinopsis"
Toradora,"comedia,romance,slice of life",Yuyuko Takemiya,8.05,"sinopsis"
Shigatsu wa Kimi no Uso,"drama,comedia,musica,romance,shounen",Naoshi Arakawa,8.62,"sinopsis"
Sayonara Watashi no Cramer,"drama,shounen,deportes",Naoshi Arakawa,4.36,"sinopsis"
Slam Dunk,"comedia,drama,shounen,deportes",Takehiko Inoue,9.02,"sinopsis"
